ticker,return
LECO,-0.10738060781476115
TEN,0.01585503963759916
SCL,0.01705970898143491
PAYX,-0.16743437888425827
URBN,-0.24879227053140096
SEIC,-0.11092824226464772
MA,-0.12176382161349593
AMH,-0.1181886041303807
MG,-0.10136157337367624
DD,-0.2501349163518619
CHE,-0.074254496686652
IT,-0.19225759043388216
PFG,-0.09998652472712556
PDLB,-0.11663479923518169
NBHC,-0.060628375061364724
CYCN,-0.5143362831858407
LEGH,-0.37857142857142856
SITM,-0.3436267010226266
VLY,-0.21315192743764175
ISTR,0.1465968586387433
KRMD,-0.11846689895470393
VRTX,0.07738482125788572
TFSL,-0.17931858936043035
TMHC,-0.14868804664723037
HON,-0.1127616130678918
UE,-0.20408163265306115
HALO,0.1
EPAC,-0.13545454545454547
OMF,-0.21897200167154193
WABC,-0.07954357532660827
CPS,-0.44120940649496077
SKT,-0.17945758799769174
OPK,-0.26453488372093026
HCSG,-0.06347498655190961
EXPE,-0.5184827866355235
NWL,-0.11441860465116283
MFA,1.674129353233831
CRNC,-0.3045755237045204
ADUS,-0.10393802453195607
EPM,-0.18140929535232383
BDC,-0.047218744410659874
PRTA,-0.26062091503267976
GPC,0.04551528967848445
TPC,-0.19152854511970535
OLP,-0.15949530896150113
EBC,-0.1543747136967475
VHC,-0.2822085889570552
MSEX,-0.16574690770694567
AWK,-0.10233512339347119
HXL,-0.12422568223673187
NEE,-0.08320511303112796
PB,-0.02749287749287759
IRT,-0.2165532879818594
JOE,-0.33028610123582186
FFIC,-0.06426056338028158
LBRDA,-0.13366903181506062
DFIN,-0.1256716417910448
GTLS,-0.03499567598731619
NNBR,-0.12152777777777782
CSGP,-0.09430284857571224
BUSE,-0.11020249221183794
CFFN,-0.16164383561643833
OPBK,-0.2458662832494608
CMP,-0.43852133904489926
T,-0.11635750421585152
GHC,-0.07288191036964335
RYN,-0.09557222356641655
GLDD,-0.07087172218284904
TNET,-0.21197969543147205
ORGO,-0.35958005249343833
GOSS,-0.03682393555811281
CCI,-0.09008376114563639
APAM,-0.10448136958710974
PRLD,-0.2423802612481858
CCB,-0.1705831157528286
ERII,-0.0390895596239485
UAL,-0.23844334551709304
OPRT,-0.427681660899654
O,-0.015859284890426678
LNSR,-0.11848341232227488
TARA,-0.43761996161228406
BDN,-0.31920903954802254
AROW,-0.017603458925262626
WSC,-0.1714796831075901
ARAY,-0.40785498489425986
RJF,-0.18998006885305307
AXTI,-0.16524216524216515
VRNT,-0.18243243243243237
UNIT,-0.3149090909090909
EARN,-0.24773413897280966
WEYS,-0.002040816326530641
UNP,-0.22217359591539018
MLP,-0.1544642857142856
DHT,0.03722504230118439
TRV,-0.08285884713410337
HAL,-0.17430226434965765
COP,-0.1032451323015477
BHB,-0.09675165909884735
BANC,-0.10285132382892055
GDDY,-0.17298775413149445
WWW,-0.10360160071142724
BV,-0.12023460410557188
EQBK,-0.09510406613560402
NPO,-0.16218427242049288
PRA,-0.12123465972480482
SYRS,-0.14044642857142867
AGYS,0.17377711891973768
RS,-0.07880036878355645
NOV,-0.15025125628140698
VAC,-0.2678008821676118
PEBK,-0.06618531889290015
RYI,-0.3778492109877265
TIPT,-0.17354085603112845
COLM,-0.21340659340659343
CNO,-0.2877952755905511
BLK,-0.20697916666666671
UI,-0.15341587366554107
OKTA,-0.40219547678878453
CABO,-0.11519510286992693
AVO,0.12737341772151894
ASPU,-0.41666666666666663
HCKT,-0.17521739130434788
ACN,-0.17998168876812665
CALA,5.648648648648648
WPC,0.02056903559551671
TECH,-0.20740825425860301
VREX,0.0014044943820225252
SANM,0.004191321499013674
PCG,-0.16624895572263995
ISRG,-0.3397588776131186
RBC,-0.048757907730288624
VFC,-0.22752710738020285
AGNC,-0.15689261233815693
TXT,-0.18562474996666217
BCML,-0.05006890215893431
GWW,-0.12446294048513568
SNCR,-0.339080459770115
MU,-0.29516766543414513
PGNY,-0.43405415936099745
TGNA,-0.06675567423230976
HIW,-0.2578684610375516
REVG,-0.2001471670345843
ARR,-0.16587677725118477
FLO,0.018970189701897098
HFFG,-0.21385542168674698
SHO,-0.164279696714406
FNB,-0.1387787470261697
SWBI,-0.13731931668856767
DGII,0.11715867158671583
FBK,-0.11766029246344215
VTOL,-0.3694421988682296
CMCT,-0.07911802853437098
ECL,-0.13598561474488657
SMCI,0.05352480417754581
ORA,-0.04695292543486194
STRA,0.05864706764661762
ACA,-0.18970331588132633
PLAB,0.1458823529411765
ORIC,-0.19279279279279268
TMDX,0.16051660516605157
SRCL,-0.25916539956073653
DLR,-0.08840050554697357
JRVR,-0.0020136931131694387
CTRE,-0.04702842377260982
OVLY,-0.06496330524599077
TEAM,-0.36908729757936903
GNW,-0.07105263157894738
DX,-0.019704433497536856
MTH,-0.09170633926334244
AMD,-0.3078385228095583
IDYA,0.2321428571428573
IMVT,-0.2972972972972973
EXPO,-0.15344747801943542
RGA,0.06607889474640984
IRDM,-0.072821525549247
FNWB,-0.29539295392953935
AFG,-0.05236209721463673
JNJ,0.0025981361197400707
DVA,-0.2936395759717315
GPK,0.015857284440039657
NVR,-0.1140459954243536
FNKO,0.28349626221966645
MXL,-0.42649789029535873
XRAY,-0.27745197168857444
SSNC,-0.23187830687830682
WAB,-0.15477293790546803
ANET,-0.3320031354664007
HAS,-0.005586592178771046
WRAP,-0.3007518796992481
INSM,-0.16687790452049017
PEB,-0.330234438156831
ULBI,-0.1704649042844121
BWA,-0.15390466531440164
EL,-0.07463391591875293
ANIP,0.041418041418041535
BTU,-0.13818181818181824
NRC,-0.03503907234686162
TDY,-0.2048374104379531
KROS,-0.49153478100846526
DBI,-0.042521994134897365
GE,-0.30868621064060797
ACHC,0.027967776257789772
ATO,-0.06239544998327206
WGO,-0.10833639368343735
CL,0.056280479768024194
LMT,-0.027723757405816216
PCB,-0.1874728142670726
CFR,-0.17188166690371215
YUM,-0.04557302614983605
OZK,-0.13185287994448291
KLAC,-0.13575297941495126
AEE,-0.035851472471190776
GOOGL,-0.21890322580645152
